"athlete_id","session_id","date","session_type","total_distance","high_speed_running","sprint_count","accelerations","decelerations","player_load","metabolic_power","heart_rate","hrv","resting_hr","srpe","sleep_duration","sleep_quality","muscle_soreness","acute_workload","chronic_workload","acwr","prior_injury","match_congestion","position","sport_specific_actions","fatigue_level","injury_7d"
1,1,2025-01-01,"training",8960.60497091861,1933.93931523573,3,14,52,457.10989872274,10.5117421622095,162,57.6058791374976,51,272,7.987318241521,4,3,1767.87317040856,2066.39268036655,0.855535923643982,1,0,"midfielder",10,2,0
1,2,2025-01-02,"training",6385.47043522082,1033.8984263198,17,20,47,621.910861949687,9.96075465755176,146,54.5628300233636,59,316,6.89582743462595,5,2,1669.73882293156,2183.44249733682,0.764727637649341,1,0,"midfielder",8,2,0
1,3,2025-01-03,"training",6638.57828812512,1206.40274639375,10,45,40,742.171970561072,6.85034669583327,149,70.3869877779887,55,153,7.95275870433568,5,1,1723.89878532404,2000.45154154435,0.86175483360781,1,0,"midfielder",6,1,0
1,4,2025-01-04,"training",6719.6305049807,1864.92266188374,11,55,17,467.359519534654,9.08869223036481,140,59.068729850136,54,115,8.97570545221184,5,1,1722.65478972309,2150.16137690418,0.801174650529429,1,0,"midfielder",0,1,0
1,5,2025-01-05,"training",7664.6461264361,1341.66511416128,13,23,6,196.00839516935,4.94155596150052,135,72.7838497313644,63,149,5.87458873798534,2,1,1500,2277.71825052513,0.658553795955304,1,0,"midfielder",16,3,0
1,6,2025-01-06,"training",8351.58863534943,1667.6405966244,0,40,17,422.21741702269,6.13239271644658,122,51.7899907426005,53,279,8.73653932817039,5,2,1500,2453.69521970651,0.611322868444686,1,0,"midfielder",-3,2,0
1,7,2025-01-07,"training",5990.35071859662,987.847105726861,8,82,36,1036.73035210302,8.61254344030064,120,59.9351407611033,56,162,8.75291334519989,5,1,1500,2428.34791343959,0.617703909599737,1,0,"midfielder",19,2,0
1,8,2025-01-08,"match",12135.3746078488,2539.020582351,40,47,63,1004.77642893419,12.2661256591713,159,41.3432385875234,55,465,5.97660209726622,2,3,1500,2432.98697974398,0.616526110697823,1,1,"midfielder",13,5,1
1,9,2025-01-09,"training",7791.96974991959,1831.68267134904,8,66,48,1096.28899380024,11.0838512077798,145,41.2220204981588,51,146,8.45690265894259,5,1,1500,2680.29126251956,0.559640670764248,1,1,"midfielder",17,4,0
1,10,2025-01-10,"training",8725.71664189382,2503.70846006016,21,57,64,1007.12790383283,12.4110015257084,150,66.5062542993852,64,204,9.55585978888187,5,3,1500,2980.55235294561,0.503262423328207,1,1,"midfielder",10,3,0
1,11,2025-01-11,"training",7736.18179154012,1385.71510537584,21,59,48,939.130653261127,6.37918124231786,152,70.7394542883296,47,255,6.64619038805172,5,3,1816.70847159852,2903.41546607353,0.625714264054453,1,1,"midfielder",15,2,0
1,12,2025-01-12,"training",7126.06813933833,1663.12405974564,0,83,33,1025.30953817584,6.28412265658375,153,44.7591207600064,50,166,6.69676793098473,3,4,1500,2968.78564357966,0.505257091647529,1,0,"midfielder",4,5,1
1,13,2025-01-13,"training",6025.08591771171,1414.47177966218,14,41,53,695.977953762788,5.48031620975039,142,71.9359062324727,52,177,7.35298734245813,5,1,1500,2816.81136196751,0.532517022706223,1,0,"midfielder",16,1,0
1,14,2025-01-14,"match",9715.80168295915,1980.67082228701,27,61,52,945.160368870586,7.08206157432277,138,60.8295661938447,56,425,5.53297194513927,3,4,1500,2848.83519230604,0.526530985032447,1,1,"midfielder",17,4,1
1,15,2025-01-15,"training",8287.94092921424,2005.12532503357,17,50,39,807.614155235905,9.6232511795922,142,62.5757194899248,49,338,8.00333805850575,5,1,1500,2486.41707603232,0.603277710107112,1,1,"midfielder",11,2,0
1,16,2025-01-16,"training",6575.303121009,1390.70312024585,20,45,52,826.061309048185,5.75389265170213,174,67.2017220324083,57,290,8.18744216096165,5,1,1500,2407.44592382941,0.623066954548255,1,1,"midfielder",1,2,0
1,17,2025-01-17,"training",9190.25544677384,2400.87592346936,6,61,61,1008.61312408184,8.07611788675828,161,52.8090581775787,55,137,9.41092063406864,5,2,1622.12342537064,2635.08487353957,0.615586784949256,1,1,"midfielder",6,3,0
1,18,2025-01-18,"training",8106.83245819266,2074.83636551276,8,40,42,704.324216979809,9.05364437893573,159,43.6187703550679,52,255,7.05601826981917,4,1,1907.242266725,2674.87345688697,0.713021493339971,1,0,"midfielder",12,3,0
1,19,2025-01-19,"training",7935.91445834291,1789.35324192416,25,42,43,762.467279842015,10.8645097140898,152,57.6357377567415,61,193,7.77969291989952,4,5,2082.52914678949,2740.67664326326,0.759859486491581,1,0,"midfielder",8,2,0
1,20,2025-01-20,"training",6918.82019508173,805.065233759554,5,33,49,723.106691416414,10.3634050079873,130,38.2890137288313,60,303,6.21637228512304,4,1,2000.22321705197,2671.60583188059,0.748696979615433,1,0,"midfielder",9,4,0
1,21,2025-01-21,"training",6726.87063394782,1949.05962612294,19,34,38,595.347500927356,9.82308014861445,135,55.7164876571163,54,246,8.91257782357723,4,3,2360.19216219783,2450.43859893045,0.963171312771511,1,0,"midfielder",18,2,0
1,22,2025-01-22,"training",7948.70818044595,1928.39902759962,11,37,31,502.840401148236,9.65634143174691,127,56.5156618803989,60,321,5.51775108886981,4,1,2268.94897390658,2438.0747403995,0.930631426637391,1,0,"midfielder",18,2,0
1,23,2025-01-23,"training",8446.48272870247,1870.2468327428,7,68,51,994.719221165374,6.10796218205317,120,72.1769194779538,53,252,7.6388485081251,4,1,2106.73583620524,2561.80622549217,0.822363461858046,1,0,"midfielder",11,1,0
1,24,2025-01-24,"training",7608.8425770708,1749.2215533251,9,71,33,942.74313400125,6.74567629994757,149,64.4519748601437,55,274,7.44615514870284,4,1,2200.79124771878,2523.16051276825,0.872235926561886,1,0,"midfielder",4,1,0
1,25,2025-01-25,"training",6814.53328926095,978.632774252025,13,39,22,548.926616110851,10.0666376499798,121,56.5124063900249,52,244,8.10437096438584,3,1,2660.90635121881,2558.17550820922,1.04015785573739,1,0,"midfielder",-6,2,0
2,1,2025-01-01,"training",6742.80690918095,1409.05133329685,8,21,50,655.417620706608,6.14936935186618,155,65.0139275969616,54,203,7.38069974820451,5,1,2777.22070609284,2405.2859557344,1.1546322379972,0,0,"defender",3,1,0
2,2,2025-01-02,"training",7052.95249074633,1104.22571793848,6,30,25,529.150300382459,9.50566284915866,132,54.9281541461888,46,336,5.63100601479137,4,1,2948.77071776132,2317.35852511445,1.27247065389491,0,0,"defender",20,2,0
2,3,2025-01-03,"training",4649.18726852179,399.269937947388,24,28,5,211.708634501911,8.53942304830274,163,61.759037072324,57,106,7.25979482879061,4,2,2954.88409388838,2217.93651578877,1.33226721001865,1,0,"defender",5,2,0
2,4,2025-01-04,"training",7219.27026779991,1436.29125954065,11,13,33,386.591424050505,7.22184118570481,147,53.7019120736485,59,253,7.16017356296154,5,4,3323.90650063716,1979.9513722582,1.67878188687338,1,0,"defender",15,3,0
